order_id,product_id,unit_price,quantity,discount
1,26,373.36,4,0.05
2,755,341.58,9,0.0
2,105,299.34,1,0.0
3,224,124.0,10,0.0
4,204,215.56,8,0.2
4,734,146.31,1,0.05
4,666,352.09,6,0.1
4,719,86.18,6,0.0
4,559,55.45,2,0.1
5,619,31.29,8,0.2
5,271,71.16,7,0.0
5,827,280.5,10,0.1
6,197,121.67,5,0.0
6,722,429.11,2,0.15
6,72,146.21,6,0.05
6,47,191.39,4,0.1
6,678,353.89,2,0.2
7,547,129.96,8,0.15
7,747,142.27,9,0.05
8,864,37.41,1,0.1
8,787,206.57,2,0.05
8,795,457.44,10,0.1
9,672,203.86,8,0.05
9,512,139.79,4,0.2
10,270,295.93,6,0.05
10,765,498.69,3,0.2
10,599,251.82,1,0.0
10,439,84.89,3,0.15
10,920,302.24,7,0.15
11,480,431.78,1,0.0
11,542,344.04,9,0.1
11,258,386.61,6,0.0
11,995,153.82,3,0.15
11,567,11.59,5,0.2
12,520,62.14,5,0.2
12,935,308.4,3,0.1
13,553,391.53,9,0.0
13,977,303.48,8,0.0
14,952,187.86,5,0.05
15,247,440.22,2,0.0
16,836,385.26,3,0.15
16,71,473.96,3,0.1
16,779,268.56,10,0.15
16,546,482.54,9,0.05
17,409,192.98,9,0.15
17,688,69.29,4,0.0
17,666,175.66,10,0.2
18,603,13.52,1,0.05
18,226,43.03,1,0.1
19,527,126.62,8,0.05
20,136,292.34,4,0.15
20,741,405.67,4,0.0
20,958,57.5,7,0.1
20,904,217.55,8,0.0
20,585,339.95,2,0.0
21,746,63.54,4,0.05
21,348,272.78,3,0.15
21,820,99.91,8,0.05
21,883,438.5,2,0.15
22,101,17.23,2,0.05
22,52,91.49,8,0.15
22,668,114.74,7,0.0
22,554,90.67,1,0.15
22,857,139.95,8,0.1
23,714,282.33,8,0.05
23,981,103.05,4,0.0
23,749,293.8,9,0.0
23,803,376.51,1,0.0
24,489,87.14,9,0.0
24,515,427.16,2,0.2
24,942,43.3,4,0.15
24,874,68.74,10,0.05
24,544,293.67,1,0.2
25,430,332.11,10,0.2
26,958,338.17,6,0.05
26,268,140.15,3,0.1
26,210,234.04,2,0.0
27,637,273.44,9,0.1
27,577,74.9,6,0.0
27,103,440.84,6,0.1
27,76,87.3,9,0.1
28,827,410.38,5,0.0
28,670,470.08,3,0.1
28,542,66.56,2,0.2
28,9,86.17,5,0.2
28,684,113.21,6,0.05
29,518,453.61,1,0.0
29,501,320.8,5,0.0
29,258,11.74,3,0.1
30,760,280.32,7,0.2
30,453,14.74,2,0.05
31,37,82.57,3,0.0
31,855,161.05,1,0.1
31,379,112.94,4,0.0
31,597,183.3,9,0.15
31,566,487.18,3,0.05
32,1000,407.28,7,0.0
32,820,97.89,6,0.15
33,274,395.81,2,0.15
33,164,437.36,8,0.05
34,837,235.55,5,0.05
34,941,119.23,4,0.15
35,286,483.78,5,0.1
35,886,324.33,7,0.2
35,72,172.26,1,0.0
36,183,491.94,1,0.0
36,595,302.32,6,0.1
36,986,223.83,9,0.0
37,922,31.75,7,0.0
37,591,264.76,9,0.05
37,195,188.47,2,0.1
37,261,315.35,2,0.1
38,317,351.63,9,0.05
38,683,104.0,7,0.05
38,419,311.6,5,0.15
38,335,278.49,1,0.1
38,413,150.59,7,0.2
39,671,114.71,8,0.05
39,330,332.84,5,0.2
39,477,335.29,10,0.1
39,453,55.76,4,0.1
39,692,120.07,4,0.05
40,48,129.97,8,0.2
41,467,213.08,10,0.05
42,507,331.47,1,0.0
42,410,391.43,4,0.05
42,250,404.01,9,0.15
42,152,34.61,4,0.0
43,137,270.25,9,0.2
43,821,165.48,8,0.2
43,476,409.35,9,0.15
43,684,416.98,9,0.15
44,762,242.59,5,0.05
44,883,421.53,5,0.2
45,642,47.97,5,0.05
45,245,143.14,6,0.2
45,282,49.48,3,0.05
45,451,197.69,3,0.05
46,425,209.72,9,0.15
47,64,200.84,10,0.0
