order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_city,ship_region,ship_country,order_status,payment_method
1,913,13,2026-04-11,2026-04-18,2026-04-13,FedEx,69.29,Figueroa and Sons,Hyderabad,Delaware,India,Processing,Credit Card
2,4838,217,2024-07-03,2024-07-06,2024-07-04,UPS,53.01,"Garcia, Yang and Gardner",Seattle,Florida,USA,Delivered,Cash
3,1629,367,2026-01-25,2026-02-03,2026-01-27,FedEx,77.09,Johnson and Sons,Vancouver,Nevada,Canada,Delivered,Net Banking
4,2788,143,2024-07-18,2024-07-23,2024-07-20,FedEx,41.09,"Johnson, Gonzalez and Santos",London,North Carolina,UK,Shipped,UPI
5,4946,136,2025-11-15,2025-11-18,2025-11-21,USPS,12.49,Cole LLC,Toronto,Nebraska,Canada,Shipped,Cash
6,2963,296,2023-08-02,2023-08-08,2023-08-08,UPS,78.44,Wolfe LLC,Seattle,Wisconsin,USA,Delivered,Debit Card
7,828,195,2024-09-26,2024-10-03,2024-09-30,DHL,38.75,Bernard LLC,London,Georgia,UK,Processing,UPI
8,585,312,2023-12-28,2024-01-02,2024-01-02,USPS,41.05,Davis-Abbott,Hyderabad,Colorado,India,Processing,Cash
9,1800,351,2026-02-14,2026-02-22,2026-02-21,FedEx,81.48,Blair PLC,Seattle,Kentucky,USA,Shipped,UPI
10,543,109,2024-02-01,2024-02-09,2024-02-03,USPS,18.57,Arnold Ltd,Vancouver,Missouri,Canada,Delivered,Debit Card
11,4599,276,2026-03-09,2026-03-16,2026-03-15,DHL,25.84,"Lee, Jones and Stanley",Vancouver,Mississippi,Canada,Delivered,Cash
12,4043,47,2024-10-14,2024-10-17,2024-10-21,UPS,80.25,Delacruz Group,Seattle,Colorado,USA,Shipped,Cash
13,521,198,2024-09-26,2024-10-05,2024-10-01,FedEx,69.63,"Flowers, Martin and Kelly",Vancouver,New Jersey,Canada,Delivered,Cash
14,2186,394,2026-05-29,2026-06-06,2026-05-30,UPS,48.1,"Zuniga, Wong and Lynch",Manchester,Louisiana,UK,Processing,UPI
15,4101,391,2024-04-13,2024-04-18,2024-04-18,DHL,84.96,"Sanchez, Ford and Nelson",Chicago,Ohio,USA,Processing,Cash
16,1630,79,2026-04-12,2026-04-20,2026-04-19,FedEx,61.9,"Robinson, Nguyen and Tate",Mumbai,Vermont,India,Shipped,Credit Card
17,917,476,2023-10-17,2023-10-25,2023-10-24,FedEx,27.88,Trujillo Group,London,Iowa,UK,Processing,Credit Card
18,702,375,2024-09-10,2024-09-20,2024-09-17,UPS,17.2,Gentry PLC,Chicago,California,USA,Shipped,Cash
19,1353,136,2024-11-22,2024-12-01,2024-11-24,DHL,42.9,"Porter, Wilkerson and Day",Mumbai,Indiana,India,Processing,UPI
20,3589,461,2024-02-29,2024-03-10,2024-03-01,FedEx,37.12,Wright PLC,Hyderabad,Kentucky,India,Processing,Cash
21,1886,302,2025-11-06,2025-11-12,2025-11-07,FedEx,26.75,"Richards, Hurst and Ross",Chicago,Kentucky,USA,Delivered,UPI
22,581,264,2024-06-27,2024-07-03,2024-06-30,UPS,73.72,"Snyder, Campos and Callahan",Toronto,Florida,Canada,Processing,Cash
23,3873,125,2024-03-16,2024-03-26,2024-03-23,FedEx,14.21,Conner Group,Toronto,South Dakota,Canada,Shipped,UPI
24,3470,211,2026-02-03,2026-02-13,2026-02-10,FedEx,10.76,James-Ferrell,Chicago,California,USA,Processing,UPI
25,896,128,2025-10-21,2025-10-27,2025-10-23,USPS,22.43,"Valencia, Smith and Le",Toronto,Kentucky,Canada,Shipped,Debit Card
26,618,227,2026-06-16,2026-06-20,2026-06-17,UPS,20.8,Mack-Peterson,Seattle,Ohio,USA,Shipped,Net Banking
27,1752,443,2024-10-20,2024-10-29,2024-10-21,FedEx,98.6,Chavez Ltd,Bangalore,Nevada,India,Shipped,Net Banking
28,2337,217,2024-09-04,2024-09-14,2024-09-06,UPS,97.03,Romero Inc,Bangalore,North Carolina,India,Processing,Cash
29,500,383,2026-03-20,2026-03-28,2026-03-21,USPS,52.77,"Romero, Gonzalez and Brooks",Chicago,Maryland,USA,Processing,Debit Card
30,466,492,2024-03-29,2024-04-02,2024-04-05,FedEx,69.15,"Sellers, George and Burns",Hyderabad,Ohio,India,Delivered,Net Banking
31,983,483,2024-01-12,2024-01-18,2024-01-17,FedEx,44.83,Allen-Allen,Chicago,Mississippi,USA,Processing,Cash
32,4283,162,2025-12-20,2025-12-27,2025-12-22,DHL,42.6,Dennis Inc,London,Colorado,UK,Processing,UPI
33,3746,162,2025-10-27,2025-10-31,2025-10-28,FedEx,56.08,Anderson Group,Toronto,Wyoming,Canada,Processing,UPI
34,1086,478,2025-11-23,2025-12-01,2025-11-24,DHL,19.99,Rose-Obrien,Bangalore,Hawaii,India,Processing,UPI
35,4334,5,2024-06-16,2024-06-23,2024-06-22,DHL,15.97,"Vaughn, Marquez and Ross",Seattle,Ohio,USA,Delivered,Cash
36,1274,140,2026-05-31,2026-06-07,2026-06-05,DHL,24.34,Kim-Holmes,Mumbai,Tennessee,India,Processing,UPI
37,4141,251,2024-01-26,2024-02-02,2024-02-02,USPS,83.79,Brown Inc,Seattle,Kansas,USA,Delivered,Credit Card
