product_id,product_name,supplier_id,category_id,quantity_per_unit,unit_price,units_in_stock,units_on_order,reorder_level,discontinued
1,Monitor 3286,63,5,2 pieces,1355.02,456,69,21,1
2,Laptop 2535,9,7,12 pack,469.16,308,3,81,0
3,Tablet 5557,57,7,1 piece,1518.82,81,89,64,0
4,Monitor 6514,40,5,2 pieces,190.03,49,45,54,1
5,Tablet 9785,12,5,2 pieces,1946.37,193,10,80,0
6,Monitor 2139,148,6,1 piece,1324.22,395,37,20,0
7,Headphones 8428,98,2,500 g,329.49,181,26,95,0
8,Mouse 9751,156,2,12 pack,330.99,194,34,91,1
9,Camera 1916,176,4,12 pack,1644.5,412,40,61,0
10,Camera 4483,55,2,250 ml,794.29,468,82,68,0
11,Monitor 9830,36,5,24 pack,1495.29,219,74,61,0
12,Tablet 2489,36,4,1 piece,1722.9,78,80,30,0
13,Printer 8668,99,2,500 ml,506.57,283,1,97,0
14,Camera 2827,197,5,24 pack,872.36,232,0,43,1
15,Keyboard 5889,130,3,500 ml,1219.9,78,47,30,1
16,Camera 9005,154,1,1 piece,228.18,185,39,40,0
17,Keyboard 2403,146,4,250 ml,1632.97,500,97,78,0
18,Tablet 3705,169,3,24 pack,1057.71,310,54,37,1
19,Headphones 7537,183,4,500 g,879.01,264,57,25,0
20,Camera 1344,17,4,1 L,1110.07,301,28,10,0
21,Keyboard 1514,59,1,500 g,146.36,121,35,95,0
22,Mouse 8744,139,4,12 pack,1570.32,413,52,34,0
23,Printer 6804,169,2,1 kg,825.15,442,93,16,0
24,Camera 2790,104,1,12 pack,387.22,274,57,27,0
25,Tablet 5092,72,3,2 pieces,889.05,441,70,22,0
26,Monitor 3724,24,1,1 kg,973.85,109,51,17,0
27,Printer 5345,1,7,250 ml,574.07,356,93,81,0
28,Headphones 4566,49,3,1 piece,1160.46,277,7,50,0
29,Tablet 9238,150,1,500 ml,319.08,491,65,20,0
30,Keyboard 4853,153,2,1 kg,244.17,455,72,41,1
31,Keyboard 7868,159,1,1 L,1132.63,161,33,36,0
32,Printer 3144,68,4,24 pack,917.16,475,96,19,0
33,Keyboard 2200,160,8,500 ml,430.24,135,16,54,0
34,Headphones 3584,95,4,250 ml,1668.32,360,38,88,1
35,Headphones 2697,171,1,6 pack,532.61,455,13,80,0
36,Monitor 6617,73,5,12 pack,1376.56,436,33,74,0
37,Keyboard 7939,14,5,24 pack,92.95,170,98,26,0
